														
			Ro+F5:M203w Labels	Max of  High	Min of  Low	Row Labels	Sum of  Open			63	57		120	0.579710145
			13-Oct	89.66	85.72	13-Oct	86.36	FALSE	FALSE	181				
			14-Oct	88.15	85.2	14-Oct	87.44	FALSE	FALSE	182				
			24-Oct	85.92	83.04	24-Oct	84.81	FALSE	TRUE	183				
			25-Oct	86.03	83.81	25-Oct	85.02	FALSE	FALSE	184				
			26-Oct	88.41	85.82	26-Oct	86.05	TRUE	FALSE	185				
			27-Oct	89.79	88.51	27-Oct	89.35	TRUE	FALSE	186				
			28-Oct	88.72	87.08	28-Oct	87.85	FALSE	TRUE	187				
			31-Oct	87.83	85.3	31-Oct	86.33	FALSE	TRUE	188				
			01-Nov	89.45	87.52	01-Nov	89.03	TRUE	FALSE	189				
			02-Nov	90.36	87.76	02-Nov	88.21	FALSE	FALSE	190				
			03-Nov	89.05	87.6	03-Nov	87.92	FALSE	FALSE	191				
			04-Nov	92.87	90.71	04-Nov	92.07	TRUE	FALSE	192				
			07-Nov	93.74	91.6	07-Nov	92.61	FALSE	FALSE	193				
			08-Nov	91.76	88.66	08-Nov	91.57	FALSE	TRUE	194				
			09-Nov	88.42	85.54	09-Nov	87.71	FALSE	TRUE	195				
			10-Nov	87.35	84.93	10-Nov	85.52	FALSE	TRUE	196				
			11-Nov	90.1	87.95	11-Nov	89.18	TRUE	FALSE	197				
			14-Nov	89	85.27	14-Nov	87.68	FALSE	TRUE	198				
			15-Nov	88.68	84.43	15-Nov	85.16	FALSE	TRUE	199				
			16-Nov	85.85	84.2	16-Nov	85.22	FALSE	FALSE	200				
			17-Nov	84.28	81.19	17-Nov	83.51	FALSE	TRUE	201				
			18-Nov	80.33	77.59	18-Nov	78.25	FALSE	TRUE	202				
			21-Nov	80.5	75.27	21-Nov	77.09	FALSE	TRUE	203				
			22-Nov	82.36	80.64	22-Nov	81.13	TRUE	FALSE	204				
			23-Nov	78.96	76.83	23-Nov	78.25	FALSE	TRUE	205				
			24-Nov	78.21	76.91	24-Nov	77.73	FALSE	FALSE	206				
			24-Nov	78.21	76.91	25-Nov	78.36	TRUE	FALSE	207				
														
